kill11,death11,damage_done11,damage_taken11,shielding11,kill12,death12,damage_done12,damage_taken12,shielding12,kill13,death13,damage_done13,damage_taken13,shielding13,kill14,death14,damage_done14,damage_taken14,shielding14,kill15,death15,damage_done15,damage_taken15,shielding15,team1,kill21,death21,damage_done21,damage_taken21,shielding21,kill22,death22,damage_done22,damage_taken22,shielding22,kill23,death23,damage_done23,damage_taken23,shielding23,kill24,death24,damage_done24,damage_taken24,shielding24,kill25,death25,damage_done25,damage_taken25,shielding25,team2,winning_team
5 , 18 ,21569,72761,0,16 , 13 ,73778,74180,0,12 , 6 ,85128,44449,0,6 , 6 ,14241,30856,0,14 , 12 ,62866,151527,66050,333001867,11 , 10 ,86618,67043,0,3 , 7 ,30156,29925,0,10 , 13 ,48939,55205,0,12 , 13 ,92660,54496,0,19 , 10 ,115400,50913,16374,7274822519,1
7 , 4 ,55069,33141,0,15 , 6 ,57257,32265,0,2 , 1 ,20602,20872,21498,7 , 5 ,33289,27377,0,16 , 4 ,71487,24615,11182,601955007,5 , 9 ,21051,63965,30748,6 , 6 ,42771,31923,0,2 , 12 ,28593,36861,0,2 , 7 ,25246,56472,4128,5 , 14 ,20609,48483,0,1211650571,0
6 , 17 ,50456,50790,2400,3 , 13 ,45251,73189,70177,5 , 16 ,80825,57863,0,5 , 10 ,50231,53942,0,13 , 17 ,74980,64348,0,732725467,14 , 7 ,94341,57272,0,9 , 3 ,28846,92000,33984,5 , 5 ,17325,37634,0,30 , 9 ,102487,57289,0,15 , 8 ,57133,57548,0,591055333,1
33 , 13 ,84724,55689,0,7 , 9 ,48983,45937,1710,12 , 9 ,81152,62511,7890,7 , 5 ,47549,106488,42533,6 , 9 ,57364,55874,0,1183071929,16 , 14 ,62016,59543,0,6 , 12 ,69720,113357,42143,7 , 14 ,64801,47602,0,2 , 13 ,31448,49841,0,14 , 12 ,98514,49429,0,189294959,0
9 , 2 ,31306,22852,0,19 , 1 ,86989,22375,9876,0 , 2 ,9426,11786,0,4 , 3 ,25150,10163,2250,9 , 3 ,43054,18898,0,5725820189,2 , 10 ,17099,30529,0,1 , 6 ,11422,27340,0,2 , 5 ,22622,72103,33207,3 , 11 ,14056,33257,0,3 , 9 ,20875,32696,0,3564700337,0
7 , 15 ,33850,40247,0,3 , 10 ,17858,38826,0,25 , 7 ,84870,36207,0,13 , 5 ,50377,73461,22561,16 , 5 ,81126,37564,0,702415307,14 , 15 ,58708,41749,0,14 , 10 ,71559,44771,0,6 , 11 ,45528,96905,39078,6 , 14 ,42830,39738,0,2 , 14 ,7680,44918,0,1195736867,0
5 , 9 ,46403,44766,0,6 , 15 ,49155,67283,0,11 , 8 ,62151,45588,0,9 , 9 ,67020,40358,0,3 , 16 ,25214,65496,0,4592106973,14 , 10 ,54634,43404,0,15 , 8 ,74522,44113,0,16 , 8 ,46365,43965,0,7 , 4 ,62405,89333,26174,5 , 4 ,25565,29128,0,296821606,1
7 , 12 ,74383,42905,0,16 , 14 ,62429,61208,0,7 , 10 ,42894,99598,8444,4 , 10 ,51458,48052,0,16 , 9 ,89665,43164,0,574506803,10 , 14 ,51467,53253,0,7 , 9 ,28947,50839,0,5 , 11 ,41824,49591,0,11 , 11 ,93649,53585,0,22 , 5 ,79040,113561,16563,532435943,0
7 , 6 ,50319,27474,0,6 , 7 ,45429,27687,0,10 , 8 ,35661,30488,0,8 , 6 ,49341,40571,0,5 , 6 ,65749,30106,0,900219247,3 , 3 ,7897,39886,0,4 , 11 ,24807,44887,0,17 , 8 ,58809,38887,0,8 , 7 ,51990,96456,38041,1 , 7 ,12823,26383,0,766838227,1
2 , 1 ,16150,9523,0,3 , 0 ,17260,22812,14409,7 , 3 ,21528,20515,0,10 , 1 ,31814,16176,0,6 , 2 ,31142,16577,0,328047477,4 , 7 ,25378,25654,0,1 , 5 ,22664,36642,34726,1 , 5 ,8671,20618,0,1 , 7 ,14093,19033,0,0 , 4 ,14797,15947,0,942232939,0
